dbp4699157,gbmb16123
dbp739177,gbmb14684
dbp8758887,gbmb12318
dbp739183,gbmb3243
dbp739181,gbmb11189
dbp4205171,gbmb3894
dbp10764860,gbmb3281
dbp5039595,gbmb10837
dbp15191891,gbmb23796
dbp490572,gbmb4350
dbp2482184,gbmb14574
dbp6967906,gbmb4516
dbp10244031,gbmb14865
dbp9474216,gbmb10988
dbp12490934,gbmb29925
dbp34693053,gbmb25863
dbp8380806,gbmb29955
dbp4942988,gbmb2772
dbp17900910,gbmb7390
dbp11907702,gbmb14465
dbp1157474,gbmb16194
dbp21853205,gbmb6797
dbp10079907,gbmb21398
dbp22014933,gbmb13075
dbp1892672,gbmb15820
dbp4820507,gbmb8837
dbp6700353,gbmb11071
dbp4709057,gbmb1510
dbp18418546,gbmb21115
dbp356429,gbmb10323
dbp3867363,gbmb10551
dbp739128,gbmb6795
dbp7330701,gbmb9709
dbp13116957,gbmb26867
dbp1239060,gbmb8728
dbp464234,gbmb13986
dbp5160400,gbmb6632
dbp15417705,gbmb8577
dbp3736875,gbmb2073
dbp314495,gbmb16386
dbp13755719,gbmb26481
dbp10052048,gbmb20864
dbp13848550,gbmb22657
dbp19142192,gbmb2682
dbp5231225,gbmb24500
dbp12453221,gbmb7523
dbp2963387,gbmb12954
dbp2001434,gbmb12108
dbp10488952,gbmb28172
dbp38214312,gbmb13395
dbp9328118,gbmb12059
dbp33945363,gbmb11423
dbp2940743,gbmb11496
dbp2878182,gbmb10657
dbp22351854,gbmb1928
dbp13644438,gbmb3504
dbp16368150,gbmb26429
dbp3470071,gbmb14581
dbp2410555,gbmb2644
dbp2613169,gbmb4050
dbp4869849,gbmb16585
dbp7594380,gbmb16776
dbp13152555,gbmb10611
dbp4843283,gbmb1579
dbp3543454,gbmb21584
dbp3376803,gbmb15039
dbp2217563,gbmb17007
dbp8247932,gbmb11999
dbp3109529,gbmb7683
dbp3001243,gbmb15407
dbp11164988,gbmb13250
dbp3987153,gbmb12014
dbp4337024,gbmb6961
dbp5652227,gbmb25937
dbp38143006,gbmb22944
dbp7437671,gbmb21668
dbp3517181,gbmb21967
dbp320482,gbmb8851
dbp20815048,gbmb12876
dbp343114,gbmb21878
dbp1580801,gbmb1296
dbp2362237,gbmb22649
dbp9979336,gbmb3743
dbp11474170,gbmb6137
dbp29248409,gbmb29405
dbp2146543,gbmb15170
dbp2048195,gbmb8159
dbp1892649,gbmb21625
dbp9188944,gbmb16946
dbp2362259,gbmb5288
dbp25582874,gbmb10121
dbp8596963,gbmb12749
dbp22289232,gbmb26805
dbp3699360,gbmb16613
dbp11246489,gbmb11311
dbp14489671,gbmb13031
dbp3844770,gbmb1433
dbp31919335,gbmb24454
dbp9894054,gbmb3592
dbp968075,gbmb15918
dbp3868589,gbmb6453
dbp15466868,gbmb24451
dbp25380552,gbmb9631
dbp12944605,gbmb11970
dbp8809394,gbmb16019
dbp3844589,gbmb3164
dbp4749875,gbmb22546
dbp2784525,gbmb10174
dbp17600971,gbmb21384
dbp30873608,gbmb6712
dbp7776919,gbmb23608
dbp15888626,gbmb26410
dbp12126346,gbmb11831
dbp5808522,gbmb11075
dbp1446787,gbmb10225
dbp2314516,gbmb17029
dbp740213,gbmb15751
dbp575904,gbmb8384
dbp3087445,gbmb20869
dbp10763443,gbmb7670
dbp1563401,gbmb24789
dbp4652348,gbmb4920
dbp1769334,gbmb7468
dbp12835484,gbmb20977
dbp3652716,gbmb6328
dbp2590179,gbmb3705
dbp4030458,gbmb22459
dbp1494288,gbmb15079
dbp21227347,gbmb25127
dbp21226029,gbmb21634
dbp8764937,gbmb7903
dbp22829586,gbmb26412
dbp23709308,gbmb27199
dbp2842089,gbmb6940
dbp2964854,gbmb28283
dbp4292278,gbmb7832
dbp31763138,gbmb1925
dbp1566486,gbmb27996
dbp33945222,gbmb15257
dbp19156642,gbmb20803
dbp4759183,gbmb21901
dbp6582405,gbmb26842
dbp6040384,gbmb6594
dbp2146685,gbmb10570
dbp2146683,gbmb10135
dbp2146690,gbmb14769
dbp16658751,gbmb22191
dbp224747,gbmb12381
dbp4424848,gbmb13440
dbp13164605,gbmb10994
dbp4148875,gbmb2256
dbp13776276,gbmb20928
dbp1517455,gbmb12248
dbp2145318,gbmb8306
dbp1196933,gbmb8890
dbp23075917,gbmb7445
dbp1903884,gbmb5662
dbp1217823,gbmb11175
dbp5302097,gbmb3845
dbp2613214,gbmb3861
dbp1794330,gbmb9838
dbp2146669,gbmb15691
dbp658717,gbmb2162
dbp4208925,gbmb24914
dbp30861525,gbmb6295
dbp2419099,gbmb16083
dbp7906921,gbmb16331
dbp5037149,gbmb21866
dbp140284,gbmb15346
dbp23397715,gbmb27725
dbp2146618,gbmb3007
dbp4818382,gbmb4735
dbp6436404,gbmb14279
dbp1615836,gbmb1859
dbp9569024,gbmb21339
dbp10027208,gbmb6763
dbp20794773,gbmb15930
dbp37529,gbmb21209
dbp29150714,gbmb23928
dbp5795031,gbmb10746
dbp491667,gbmb4816
dbp501594,gbmb3547
dbp31605199,gbmb11222
dbp6375148,gbmb5569
dbp3628734,gbmb9456
dbp27719897,gbmb23243
dbp4807758,gbmb22056
dbp32045710,gbmb28340
dbp2194071,gbmb11266
dbp1974447,gbmb1671
dbp15383639,gbmb12925
dbp1168378,gbmb3093
dbp16588819,gbmb25569
dbp5040363,gbmb10673
dbp15321385,gbmb6962
dbp3312055,gbmb4434
dbp21324574,gbmb25226
dbp885505,gbmb10395
dbp3229577,gbmb8253
dbp14356272,gbmb4589
dbp1047218,gbmb6850
dbp24930989,gbmb26452
dbp7087142,gbmb3201
dbp2293827,gbmb7172
dbp5651216,gbmb11556
dbp1733479,gbmb8496
dbp3351618,gbmb6654
dbp2194009,gbmb12773
dbp2278201,gbmb6382
dbp1301292,gbmb9157
dbp7198910,gbmb2310
dbp5956143,gbmb6765
dbp8152931,gbmb14227
dbp5246948,gbmb27921
dbp23076862,gbmb29044
dbp5160209,gbmb12229
dbp1301287,gbmb12064
dbp3798815,gbmb5556
dbp5160144,gbmb10183
dbp632022,gbmb12651
dbp885492,gbmb9710
dbp23901252,gbmb26649
dbp14477439,gbmb23612
dbp2130485,gbmb21978
dbp18913209,gbmb13849
dbp2146395,gbmb10173
dbp885483,gbmb7502
dbp2903539,gbmb6394
dbp36732572,gbmb9596
dbp1278478,gbmb2260
dbp1376847,gbmb16639
dbp906190,gbmb5504
dbp18096604,gbmb20747
dbp11788800,gbmb22088
dbp405674,gbmb13245
dbp1563133,gbmb29838
dbp1048583,gbmb3563
dbp1925514,gbmb6428
dbp23410265,gbmb4310
dbp19466351,gbmb27472
dbp4302172,gbmb17043
dbp17753232,gbmb23596
dbp5640487,gbmb21990
dbp1581952,gbmb1137
dbp4999174,gbmb15758
dbp943164,gbmb4968
dbp2531867,gbmb5080
dbp21133958,gbmb3075
dbp4818465,gbmb2657
dbp8713416,gbmb6736
dbp4064898,gbmb7043
dbp635947,gbmb7856
dbp12187248,gbmb21004
dbp6436744,gbmb9365
dbp4916868,gbmb4123
dbp1924258,gbmb4035
dbp188577,gbmb7919
dbp21432434,gbmb2917
dbp4049217,gbmb6368
dbp22649149,gbmb24145
dbp13331512,gbmb12182
dbp11584336,gbmb16489
dbp4049235,gbmb13441
dbp19684249,gbmb4752
dbp18455886,gbmb21425
dbp9388094,gbmb1248
dbp1194591,gbmb7227
dbp2590300,gbmb4508
dbp23496466,gbmb26415
dbp26100613,gbmb25622
dbp12499620,gbmb1272
dbp7063216,gbmb21719
dbp2013342,gbmb8907
dbp6894359,gbmb15523
dbp5147303,gbmb20850
dbp2817344,gbmb8669
dbp2580958,gbmb3955
dbp1204292,gbmb6927
dbp5051134,gbmb21743
dbp4844804,gbmb7196
dbp2194161,gbmb11983
dbp39698674,gbmb22744
dbp2590398,gbmb2723
dbp10764552,gbmb24381
dbp4666731,gbmb10150
dbp2194141,gbmb5426
dbp12511613,gbmb22085
dbp141869,gbmb7406
dbp22529216,gbmb27022
dbp6064065,gbmb21331
dbp21591744,gbmb25358
dbp2314345,gbmb1269
dbp10859342,gbmb13011
dbp26625581,gbmb28528
dbp23087659,gbmb26705
dbp29296835,gbmb1807
dbp23828092,gbmb24700
dbp26293450,gbmb1030
dbp8126770,gbmb4785
dbp1300073,gbmb9527
dbp4977998,gbmb13977
dbp1047196,gbmb9493
dbp20852177,gbmb23524
dbp5749934,gbmb16913
dbp2506929,gbmb14510
dbp2146496,gbmb8679
dbp1047184,gbmb9011
dbp17753326,gbmb17024
dbp23461725,gbmb15969
dbp19214744,gbmb24617
dbp13379355,gbmb5228
dbp10175964,gbmb26608
dbp2146445,gbmb13787
dbp5747317,gbmb16318
dbp1880926,gbmb1643
dbp11740906,gbmb4998
dbp12298827,gbmb25325
dbp17224120,gbmb21038
dbp1049788,gbmb10221
dbp25313098,gbmb9163
dbp12714240,gbmb1201
dbp20122958,gbmb25129
dbp8463391,gbmb22724
dbp1601038,gbmb11446
dbp1336098,gbmb2146
dbp2146410,gbmb3605
dbp3689883,gbmb15143
dbp2146414,gbmb6250
dbp5089811,gbmb1238
dbp7198878,gbmb4008
dbp2625433,gbmb24392
dbp8257266,gbmb8412
dbp6028417,gbmb27962
dbp635841,gbmb5415
dbp3053877,gbmb10978
dbp23230285,gbmb29869
dbp4435336,gbmb15418
dbp14078057,gbmb20861
dbp24892153,gbmb3001
dbp26016902,gbmb13125
dbp3133554,gbmb27339
dbp6244835,gbmb29970
dbp5074387,gbmb8844
dbp2952297,gbmb3735
dbp5736069,gbmb7444
dbp25474650,gbmb10154
dbp3964921,gbmb21651
dbp22689854,gbmb24397
dbp32294628,gbmb27822
dbp5507039,gbmb10682
dbp847429,gbmb7020
dbp6709119,gbmb9393
dbp9459056,gbmb14712
dbp26350269,gbmb5532
dbp16058407,gbmb14780
dbp3636139,gbmb2612
dbp4209990,gbmb9761
dbp6199741,gbmb22568
dbp22793312,gbmb26436
dbp18733617,gbmb21649
dbp23531280,gbmb4859
dbp921904,gbmb14873
dbp3064467,gbmb8098
dbp1194078,gbmb10678
dbp11283085,gbmb21358
dbp1829841,gbmb28817
dbp3733357,gbmb16819
dbp11931850,gbmb2143
dbp19623896,gbmb29470
dbp834197,gbmb13753
dbp21251331,gbmb26789
dbp4123170,gbmb5960
dbp12089920,gbmb25311
dbp1313021,gbmb6109
dbp18950676,gbmb23478
dbp6092834,gbmb14193
dbp30860467,gbmb29369
dbp36745625,gbmb4384
dbp19683560,gbmb21541
dbp11664080,gbmb15035
dbp1301119,gbmb5122
dbp3602849,gbmb5597
dbp15283170,gbmb20966
dbp23869666,gbmb21960
dbp34139535,gbmb7469
dbp23508907,gbmb27723
dbp23916503,gbmb6252
dbp12790259,gbmb10032
dbp15321981,gbmb22133
dbp11415415,gbmb1031
dbp11250920,gbmb5726
dbp585004,gbmb22857
dbp16537925,gbmb22080
dbp18588211,gbmb12118
dbp2239345,gbmb23549
dbp2928682,gbmb21300
dbp167812,gbmb13760
dbp167813,gbmb10733
dbp3385301,gbmb14268
dbp1865407,gbmb16349
dbp25595772,gbmb4385
dbp27952391,gbmb7162
dbp2409198,gbmb4612
dbp2917902,gbmb14485
dbp563681,gbmb13828
dbp2372049,gbmb2708
dbp1110338,gbmb13493
dbp38335983,gbmb23719
dbp24361200,gbmb28141
dbp1364696,gbmb8153
dbp1364681,gbmb2806
dbp3745222,gbmb11694
