dbp12485415,gbmb8681
dbp12465881,gbmb27489
dbp1561576,gbmb6124
dbp1656816,gbmb3792
dbp22725967,gbmb26376
dbp13242394,gbmb16381
dbp2145644,gbmb21772
dbp26519750,gbmb27735
dbp39486666,gbmb4461
dbp30873608,gbmb6712
dbp1138363,gbmb12254
dbp20777908,gbmb26351
dbp2526980,gbmb8197
dbp10010843,gbmb5447
dbp10219900,gbmb4147
dbp1833803,gbmb2842
dbp16350187,gbmb20902
dbp16681394,gbmb8342
dbp4337024,gbmb6961
dbp2348476,gbmb7876
dbp13049795,gbmb14954
dbp10368178,gbmb13762
dbp1311212,gbmb6557
dbp3267032,gbmb7131
dbp14485966,gbmb21465
dbp5606651,gbmb6777
dbp20712785,gbmb24827
dbp11502459,gbmb7103
dbp1523330,gbmb22190
dbp2443153,gbmb7649
dbp25757144,gbmb29542
dbp1247566,gbmb6413
dbp12416498,gbmb14805
dbp2146505,gbmb5646
dbp3012311,gbmb4888
dbp2006618,gbmb5896
dbp15605223,gbmb21117
dbp4574235,gbmb7224
dbp18148179,gbmb8476
dbp2140666,gbmb26736
dbp1323387,gbmb8040
dbp1189090,gbmb4745
dbp17600971,gbmb21384
dbp2320275,gbmb25192
dbp2442015,gbmb8873
dbp4064898,gbmb7043
dbp1548708,gbmb16436
dbp24204779,gbmb28013
dbp16614340,gbmb7460
dbp869691,gbmb9502
dbp20885022,gbmb21061
dbp1717800,gbmb25744
dbp2013342,gbmb8907
dbp14656427,gbmb23472
dbp17256768,gbmb27137
dbp18158394,gbmb20727
dbp22331677,gbmb25791
dbp19652670,gbmb22680
dbp2529613,gbmb4898
dbp4041632,gbmb6909
dbp10326790,gbmb12592
dbp2287481,gbmb2941
dbp26106557,gbmb29979
dbp26202204,gbmb28031
dbp12453221,gbmb7523
dbp1730073,gbmb5872
dbp17369566,gbmb21676
dbp10511660,gbmb1875
dbp23666304,gbmb26624
dbp10569348,gbmb27026
dbp13599117,gbmb20973
dbp2632144,gbmb8105
dbp24181982,gbmb29488
dbp2474662,gbmb7760
dbp27122295,gbmb9982
dbp3260011,gbmb8733
dbp1354139,gbmb15573
dbp19881100,gbmb25063
dbp33952595,gbmb7334
dbp32538576,gbmb8639
dbp17705611,gbmb21631
dbp18169786,gbmb24995
dbp10168902,gbmb7885
dbp20482536,gbmb24893
dbp2487346,gbmb6426
dbp1264670,gbmb15322
dbp1422170,gbmb4410
dbp19582513,gbmb20741
dbp17601372,gbmb20714
dbp1562965,gbmb1690
dbp5070585,gbmb7586
dbp26883244,gbmb28012
dbp2561631,gbmb3015
dbp21226029,gbmb21634
dbp22115660,gbmb25766
dbp22861694,gbmb25961
dbp17753232,gbmb23596
dbp2509139,gbmb7723
dbp12295521,gbmb22108
dbp4933820,gbmb7975
dbp32242633,gbmb4125
dbp1895358,gbmb20982
dbp19874662,gbmb25203
dbp14932835,gbmb20804
dbp1951694,gbmb4946
dbp16288423,gbmb6202
dbp4044473,gbmb4770
dbp21251331,gbmb26789
dbp14870454,gbmb2434
dbp4074781,gbmb8270
dbp6211097,gbmb6455
dbp1341689,gbmb15864
dbp23508907,gbmb27723
dbp3006007,gbmb9546
dbp748893,gbmb9051
dbp11168349,gbmb21365
dbp15226533,gbmb21009
dbp1485658,gbmb1858
dbp4263518,gbmb9533
dbp10286698,gbmb6134
dbp18955857,gbmb20992
dbp15318145,gbmb5500
dbp15865401,gbmb22987
dbp3312055,gbmb4434
dbp450226,gbmb9570
dbp14647422,gbmb6400
dbp11692388,gbmb6218
dbp21938498,gbmb25565
dbp17622966,gbmb21632
dbp14964007,gbmb6644
dbp362641,gbmb3724
dbp15321529,gbmb15402
dbp440547,gbmb6782
dbp13808189,gbmb21368
dbp16401301,gbmb21373
dbp1179733,gbmb3570
dbp15321981,gbmb22133
dbp18955248,gbmb9405
dbp1137963,gbmb3841
dbp16491941,gbmb20953
dbp16184692,gbmb22845
dbp21413988,gbmb25250
dbp2165135,gbmb2726
dbp1788990,gbmb3771
dbp13393786,gbmb20986
dbp1882919,gbmb5607
dbp7140266,gbmb7382
dbp3110199,gbmb7916
dbp23709308,gbmb27199
dbp22988919,gbmb26450
dbp1467395,gbmb1605
dbp2918560,gbmb6682
dbp2293827,gbmb7172
dbp22132698,gbmb25657
dbp89271,gbmb9045
dbp18604234,gbmb7960
dbp2041006,gbmb2333
dbp2335900,gbmb5293
dbp10674778,gbmb5278
dbp327234,gbmb9037
dbp24162682,gbmb26693
dbp13362612,gbmb21120
dbp21747233,gbmb24354
dbp10258564,gbmb25364
dbp2242229,gbmb24793
dbp24005987,gbmb27952
dbp18696458,gbmb8187
dbp11828967,gbmb24916
dbp18946810,gbmb23460
dbp2018124,gbmb4905
dbp2773842,gbmb5558
dbp12543416,gbmb13691
dbp12264737,gbmb22411
dbp2076914,gbmb26504
dbp13369421,gbmb20937
dbp1110048,gbmb15684
dbp1900748,gbmb5554
dbp23543392,gbmb27130
dbp2562910,gbmb7605
dbp19346932,gbmb4309
dbp1451004,gbmb1552
dbp2157627,gbmb4511
dbp18626979,gbmb23728
dbp17104269,gbmb21562
dbp11740250,gbmb26193
dbp15479709,gbmb3807
dbp18835668,gbmb23987
dbp20537032,gbmb24711
dbp10699477,gbmb9100
dbp1168378,gbmb3093
dbp1132936,gbmb2290
dbp12066295,gbmb4292
dbp7330701,gbmb9709
dbp22726304,gbmb25572
dbp13279062,gbmb2796
dbp29222301,gbmb5581
dbp12558743,gbmb7658
dbp12360576,gbmb22139
dbp10200845,gbmb3738
dbp25933601,gbmb28333
dbp206199,gbmb7852
dbp11389899,gbmb5023
dbp27665197,gbmb28536
dbp6767633,gbmb8459
dbp3135609,gbmb9203
dbp1223840,gbmb2430
dbp11679041,gbmb12912
dbp11139384,gbmb20829
dbp19767689,gbmb5351
dbp39851534,gbmb7617
dbp3539747,gbmb9592
dbp10168895,gbmb16507
dbp1311805,gbmb6505
dbp20579379,gbmb25113
dbp5298875,gbmb8232
dbp21532624,gbmb23282
dbp18148179,gbmb3650
dbp17056690,gbmb20878
dbp17380293,gbmb1747
dbp1191771,gbmb1442
dbp13804577,gbmb28415
dbp2977349,gbmb3198
dbp30865892,gbmb5175
dbp398631,gbmb8985
dbp11825742,gbmb25862
dbp408101,gbmb9101
dbp11628542,gbmb1628
dbp4887308,gbmb6967
dbp3750697,gbmb5781
dbp5861860,gbmb6836
dbp23450893,gbmb26465
dbp10257680,gbmb9926
dbp2366609,gbmb6143
dbp6321114,gbmb7301
dbp18733617,gbmb21649
dbp1444974,gbmb2238
dbp11170896,gbmb26118
dbp15521944,gbmb23961
dbp20773155,gbmb25235
dbp4085547,gbmb5444
dbp11786470,gbmb20772
dbp17052816,gbmb20867
dbp27665197,gbmb8145
dbp4041513,gbmb8177
dbp10176012,gbmb4047
dbp1870044,gbmb6171
dbp3887477,gbmb5266
dbp2511634,gbmb8923
dbp15837633,gbmb21768
dbp3251816,gbmb3892
dbp11766318,gbmb8182
dbp15364151,gbmb21255
dbp13115980,gbmb13600
dbp1671466,gbmb3193
dbp15364151,gbmb21254
dbp7021780,gbmb7778
dbp4427339,gbmb9851
dbp2731653,gbmb4560
dbp1514653,gbmb29418
dbp52758,gbmb8825
dbp19668,gbmb2037
dbp15191891,gbmb23796
dbp35228872,gbmb5834
dbp25170509,gbmb9948
dbp14385771,gbmb27102
dbp12029656,gbmb24124
dbp4125397,gbmb9387
dbp23923640,gbmb28442
dbp2835709,gbmb5753
