dbp170531,gdb8789
dbp2954629,gdb6706
dbp24628569,gdb3432
dbp21544512,gdb4401
dbp1387059,gdb1919
dbp14408916,gdb18457
dbp16491537,gdb4208
dbp3343407,gdb415
dbp2408267,gdb262
dbp10650082,gdb7061
dbp23068765,gdb650
dbp12600412,gdb6900
dbp24114614,gdb2507
dbp11874025,gdb13072
dbp4427066,gdb6548
dbp1563440,gdb2170
dbp17104664,gdb20605
dbp3033379,gdb7026
dbp2971223,gdb5817
dbp6417914,gdb8190
dbp12511613,gdb901
dbp24789442,gdb9953
dbp2424463,gdb4052
dbp18574831,gdb8698
dbp5245112,gdb9798
dbp1564842,gdb372
dbp4902754,gdb5791
dbp2701886,gdb2827
dbp17713642,gdb2587
dbp11771769,gdb11799
dbp1878967,gdb20195
dbp12540884,gdb4582
dbp1300073,gdb14901
dbp12653246,gdb2737
dbp3036489,gdb3057
dbp12159546,gdb8423
dbp11375087,gdb6376
dbp19568783,gdb7673
dbp2253388,gdb519
dbp319145,gdb9054
dbp1955654,gdb9435
dbp2973327,gdb7284
dbp27044718,gdb7136
dbp12459829,gdb7344
dbp5806067,gdb6007
dbp3599196,gdb4501
dbp1157774,gdb22442
dbp23991729,gdb3918
dbp10218625,gdb21658
dbp6402720,gdb9617
dbp14089195,gdb4980
dbp20263386,gdb4313
dbp2722292,gdb4995
dbp31265448,gdb6517
dbp2146618,gdb5478
dbp30863142,gdb4128
dbp2193947,gdb529
dbp10960549,gdb293
dbp1833956,gdb476
dbp2908703,gdb3310
dbp22100361,gdb2691
dbp26086909,gdb5838
dbp39619160,gdb8526
dbp5414866,gdb9838
dbp1257892,gdb6879
dbp27866730,gdb5278
dbp2090330,gdb6775
dbp10788462,gdb15212
dbp3529951,gdb9750
dbp6095029,gdb6364
dbp31932865,gdb6171
dbp13362612,gdb16687
dbp2345580,gdb623
dbp3786059,gdb8954
dbp12144371,gdb21915
dbp1651142,gdb834
dbp28393605,gdb7178
dbp5333023,gdb7958
dbp23208251,gdb7733
dbp3006007,gdb558
dbp22462334,gdb9543
dbp3022794,gdb7322
dbp2440860,gdb5140
dbp18622076,gdb8506
dbp1930930,gdb7790
dbp2031877,gdb3452
dbp11788800,gdb23548
dbp16243840,gdb649
dbp15417705,gdb3802
dbp381963,gdb6333
dbp2313462,gdb2980
dbp22669641,gdb5928
dbp1042993,gdb763
dbp2953400,gdb9631
dbp10168902,gdb10994
dbp1216176,gdb560
dbp2946647,gdb2948
dbp20182484,gdb884
dbp2811569,gdb7039
dbp11790,gdb2332
dbp33614654,gdb4883
dbp15167275,gdb77
dbp2355724,gdb9340
dbp219729,gdb746
dbp20063102,gdb7905
dbp20930740,gdb8711
dbp3934472,gdb714
dbp14917247,gdb15388
dbp11168349,gdb20039
dbp12345619,gdb9157
dbp2204792,gdb3856
dbp22331677,gdb944
dbp2251164,gdb3646
dbp1902485,gdb6835
